Customers
0to9 AB
Afa Försäkring tjänstepensionsaktiebolag
Akademikerpension - Akademikernes Pensionskasse
Aktia Bank Abp
ALD Automotive A/S
Alleima AB
AMERICAN EXPRESS DE ESPAÑA S.A.U
American Express Payments Europe (SwedenBranch)
Arbejdsmarkedets Tillægspension
Asker Kommunale Pensjonskasse
Assure Fondsmæglerselskab A/S
Bank Norwegian, en filial av NOBA Bank Group AB (p
Bankgirocentralen BGC AB
BEC Financial Technologies a.m.b.a.
BKK Pensjonskasse
BN Bank ASA
Brocc Finance AB
Byggmesterforsikring AS
Bærum Kommunale Pensjonskasse
Coeli Group AB
Consolid Equity D AB
Cs-Pensionsfond
Danica Pension, Livsforsikringsaktieselskab
Danmarks Eksport- og Investeringsfond
Danske Bank A/S
DARAG Deutschland AG
Den Norske Krigsforsikring for Skib Gjensidig fore
EiendomsMegler 1 Norge AS
Eika Gruppen AS
Eksportfinansiering Norge
Enclave Aviation Sweden AB
Erika Försäkrings AB (Publ)
Esso Pensjonskasse
Fellesordningen for Avtalefestet Pensjon
FH Kapital Holding AS
Finans Norge Forsikringsdrift
Forca A/S
Foreningen Bankdata.
Formue- & Investeringspleje A/S, Fondsmæglerselska
Fremtind Forsikring AS
Fremtind Livsforsikring AS
Frende Holding AS
Fundmarket A/S
Försäkringsbolaget PRI Pensionsgaranti, OFB
Gard AS
Getswish AB
Gjensidige Forsikring ASA
Gjensidige Pensjonskasse
Grong Sparebank
Handelsbanken Finans AB
Haugaland Kraft Pensjonskasse
Haugesund Sparebank
Heder Bank ASA
Help Forsikring AS
Helse Sør-Øst Rhf
Hydro Kapitalforvaltning AS
IBM Konsern Pensjonskasse
IKANO BANK AB (PUBL)
Infratek Pensjonskasse
Innovasjon Norge
Investeringsforeningen Nykredit Invest Almen Bolig
Jbf Bank og Forsikring Holding AS
Jyske Bank A/S
Keskinäinen Vakuutusyhtiö Fennia
Knif Trygghet Forsikring AS
Kommunalbanken AS
Kredinor AS
Kredinor Finans AS
Kredittbanken ASA
Kronos Norge Pensjonskasse
Kuntarahoitus Oyj
LB Selskapet AS
Livförsäkringsbolaget Skandia, Ömsesidigt
Loomis AB
Lunar Bank A/S
LÆGERNES PENSION - pensionskassen for læger
LähiTapiola Keskinäinen Vakuutusyhtiö
Länsförsäkringar AB (publ)
Länsförsäkringar Bank AB
Länsförsäkringar Finans AB
Maj Invest Minorities II K/S
Mandatum Life Palvelut Oy
Mastercard Payment Services Denmark A/S
Max Matthiessen AB
Mondelez Norge Pensjonskasse
MORGAN STANLEY EUROPE SE
Morrow Bank AB
Natixis SA
Nordea Bank AB
Nordea Bank Abp
Nordea Bank Norge ASA
Nordea Finans Danmark A/S
Nordea Henkivakuutus Suomi Oy
Nordea Kredit Realkreditaktieselskab
Nordea Life Holding AB
Nordea Norge Pensjonskasse
Nordic Growth Market Ngm AB.
Norsk Byggtjeneste AS
Norsk Legemiddelforsikring AS
Norske Tog Forsikring AS
Nortura Konsernpensjonskasse
Oslo Pensjonsforsikring AS
Pensionskassernes Administration A/S
Pædagogernes Pension – pensionskassen for pædagoge
Reledo AB
Ringerikes Sparebanks Pensjonskasse
SamPension Administrationsselskab A/S
Santander Consumer Bank AS
Saxo Bank A/S
SBP Kredit AB (publ)
Skagerak Energi Pensjonskasse
SkandiaBanken AB (publ)
Skogbrand Forsikringsselskap Gjensidig
S-Pankki Oyj
SpareBank 1 Forsikring AS
SpareBank 1 Forvaltning AS
SpareBank 1 Gruppen AS
SpareBank 1 Hallingdal Valdres
Sparebank 1 Helgeland
Sparebank 1 Lom og Skjåk
SpareBank 1 Nord-Norge
SpareBank 1 SMN
SpareBank 1 SMN Pensjonskasse
SpareBank 1 Sogn og Fjordane
SpareBank 1 Sør-Norge ASA
SpareBank 1 Utvikling DA
SpareBank 1 Østfold Akershus
SpareBank 1 Østlandet
SpareBank1 SR-Bank Pensjonskasse
Sparebanken Hedmark Pensjonskasse
Sparebanken Møre
Sparebanken Møres Pensjonskasse
Sparebanken Narvik
Sparebanken Norge
Sparekassen Danmark
Statnett SF's Pensjonskasse
Storebrand ASA
Storebrand Bank ASA
Svenska Handelsbanken AB
Swedbank AB
Swedbank Finans AB
Swedbank Försäkring AB
Swedbank Robur AB
Swedfund International AB
Sydbank A/S
Säkra AB
Tieto-Tapiola Oy
Titanium Rahastoyhtiö Oy
Topdanmark Forsikring A/S
Trondheim Kommunale Pensjonskasse
Tryg Forsikring A/S
Trøndelag Sparebank
Vakuutusosakeyhtiö Henki-Fennia
Varig Forsikring Nordmøre og Romsdal Gjensidig
Varig Hadeland Forsikring
Varig Orkla Forsikring Gjensidig
Verdipapirsentralen ASA
Volkswagen Semler Finans Danmark A/S
Vy Buss Pensjonskasse
Yara Pensjonskasse
Ålandsbanken Abp
Ålandsbanken Abp (Finland), Svensk Filial
